Id,Price
4567,147235.250928803
5925,219121.63158760118
960,263854.91465644626
3848,336433.2402445029
746,150416.00471005906
868,219031.17259069358
672,168039.7711902895
2471,227250.49952596374
4510,316600.840653236
8354,217130.28364196647
6393,264041.6942619307
13270,225481.24612949826
5250,148191.510880383
16751,197459.5598454172
11404,102275.10131786231
10588,182348.27888705616
14925,386171.99036873126
6791,180706.83262953637
16097,223968.20898777078
16428,241143.90895778983
6945,188222.9624823557
3190,151555.14516193402
15709,229988.16913458164
13155,157323.24070166267
7675,166727.12951355148
14686,174654.04975715236
609,249420.5269139488
11155,112458.82921588901
10869,191708.59559964892
15742,298094.1093076381
9245,181175.5714072372
3340,262069.18533758316
2359,187207.9773888665
8070,163413.40459342214
13707,170208.27028877125
16079,231712.51793395332
15937,212150.2604480188
14090,172514.58255109435
9008,166605.29051924485
16384,114799.91762226514
11657,194753.6411431846
13151,174971.42368326712
8990,187379.0814701792
11857,144711.99594938473
1565,211508.235498389
8174,194351.2855228061
9247,239979.21254339739
10478,256199.07012759245
15509,248821.65975886956
8306,181356.6491132675
6642,128860.89793720648
7472,326669.53048953525
15989,242786.930573964
13682,179328.2000612459
163,190313.61947608378
7076,138252.13676921703
7478,136904.46118624473
3029,338687.90928153205
1814,112031.98794792466
10057,110486.62389205235
15100,254422.44418381213
12694,311660.3709541036
6291,191597.78519394287
12603,317441.21071848384
3218,261249.2769408289
13456,212133.74806880511
10170,362233.3833320874
4530,235881.90990318372
13329,167868.0873079106
4820,250770.20940587882
10896,170375.34307618559
13416,286739.99183173076
2701,373336.71335653367
11265,200859.26109307777
9189,147313.81427027722
1858,160987.27668947077
14536,220904.5446790449
6199,264764.8791062338
14730,446310.42748424644
7510,178829.07269790926
15505,206251.18267685876
7446,252146.3793751576
14016,178041.23718424697
14113,337502.32339695276
8721,270819.284106213
6193,295202.55191020825
5717,256174.33664125373
5427,207817.25921531505
9520,168323.40533974514
6869,189429.35203382862
1658,212399.91757960443
6639,147486.991820054
6283,163195.6396099507
6257,152862.74423503317
15235,245700.2277193568
902,167461.9059901648
8932,256937.33885610232
16469,216992.29564577568
2825,130007.2249135993
6450,146034.75769680092
11366,156614.53874967142
3801,201667.40050577745
11385,179369.8329963539
1079,174409.51876188736
3202,195920.92224513815
676,144638.95546935595
6185,179632.37644016396
7730,218759.43744579633
2573,163962.86239244544
10978,111155.51993095022
10962,226079.97987001468
8870,142430.21106374238
8496,243251.11317837576
5517,138561.6312471514
927,322897.92614441866
13675,230552.18098580878
1499,167522.83058513975
15536,89011.60525640128
8602,195869.02805115297
12137,254941.69741097532
9865,97401.58926912885
16353,122142.46513640457
15908,280832.238978958
3944,78814.64193549055
10359,165193.29121599148
15158,216314.26959916647
3259,539359.323161074
7220,172731.06512256604
13843,128034.79349540072
16736,168398.1826080055
702,122207.71331108203
16401,158480.3685544592
12134,188621.56717738367
6918,173637.85241934616
11792,128781.88220248267
3798,306658.03431724897
10395,213266.36779018704
11099,217666.76369113088
7090,191456.16052725774
11260,322832.74368718854
9647,150724.6265758136
2903,279382.77523828443
2071,276284.21132556035
